Date,Close,Open,High,Low,Vol.,Change %
09/28/2022,11051.64,10817.53,11101.5,10776.34,953.34M,2.05%
09/27/2022,10829.5,10955.29,11040.99,10741.02,903.37M,0.25%
09/26/2022,10802.92,10833.38,11024,10789.05,949.64M,-0.60%
09/23/2022,10867.93,10952.69,10958.29,10732.72,1.00B,-1.80%
09/22/2022,11066.8,11167.38,11203.77,11024.64,934.35M,-1.37%
09/21/2022,11220.19,11466.21,11613.57,11219,909.35M,-1.79%
09/20/2022,11425.05,11440.14,11520.99,11343.72,861.66M,-0.95%
09/19/2022,11535.02,11338.57,11538.13,11337.83,932.68M,0.76%
09/16/2022,11448.4,11401.21,11460.43,11316.92,3.05B,-0.90%
09/15/2022,11552.36,11633.24,11760.73,11497.11,1.03B,-1.43%
09/14/2022,11719.68,11680.41,11746.83,11602.76,1.05B,0.74%
09/13/2022,11633.57,11908.81,11957.97,11604.43,1.10B,-5.16%
09/12/2022,12266.41,12174.94,12270.19,12169.28,845.28M,1.27%
09/09/2022,12112.31,11958.61,12132.67,11958.61,881.47M,2.11%
09/08/2022,11862.13,11679.86,11896.73,11660.53,875.83M,0.60%
09/07/2022,11791.9,11559.38,11819.07,11555.08,897.12M,2.14%
09/06/2022,11544.91,11643.03,11679.43,11471.5,945.53M,-0.74%
09/02/2022,11630.86,11899.14,11945.91,11573.51,868.07M,-1.31%
09/01/2022,11785.13,11707.44,11798.37,11546.52,974.17M,-0.26%
08/31/2022,11816.2,11972.56,12027.43,11814.17,1.16B,-0.56%
08/30/2022,11883.14,12093.06,12101.85,11790.03,896.27M,-1.12%
08/29/2022,12017.67,12021.05,12124.87,11981.42,798.39M,-1.02%
08/26/2022,12141.71,12630.58,12655.84,12141.52,960.49M,-3.94%
08/25/2022,12639.26,12506.37,12641.26,12471.98,797.23M,1.67%
08/24/2022,12431.53,12375.15,12504.33,12350.16,770.64M,0.41%
08/23/2022,12381.3,12380.37,12490.86,12352.03,763.64M,0.00%
08/22/2022,12381.57,12523.16,12538.55,12353.73,857.72M,-2.55%
08/19/2022,12705.21,12832.27,12859.01,12674.87,998.67M,-2.01%
08/18/2022,12965.34,12937.79,13002.66,12873.49,865.17M,0.21%
08/17/2022,12938.12,12968.63,13053.51,12863.01,977.81M,-1.25%
08/16/2022,13102.55,13082.64,13181.09,12979.24,952.79M,-0.19%
08/15/2022,13128.05,12996.63,13146.06,12993.78,862.20M,0.62%
08/12/2022,13047.19,12866.31,13047.19,12821.22,936.39M,2.09%
08/11/2022,12779.91,12944.82,13026.24,12760.09,1.08B,-0.58%
08/10/2022,12854.8,12793.44,12861.44,12698.61,1.05B,2.89%
08/09/2022,12493.93,12557.49,12582.91,12438.86,1.02B,-1.19%
08/08/2022,12644.46,12703.72,12855.16,12597.75,1.00B,-0.10%
08/05/2022,12657.55,12538.8,12720.44,12525.77,991.77M,-0.50%
08/04/2022,12720.58,12675.04,12736.19,12600.78,1.05B,0.41%
08/03/2022,12668.16,12433.87,12699.64,12425.21,1.10B,2.59%
08/02/2022,12348.76,12287.67,12503.34,12260.48,902.82M,-0.16%
08/01/2022,12368.98,12317.96,12499.72,12271.98,891.53M,-0.18%
07/29/2022,12390.69,12239.69,12426.26,12181.13,1.10B,1.88%
07/28/2022,12162.59,12036.48,12179.09,11886.67,958.80M,1.08%
07/27/2022,12032.42,11756.19,12081.73,11718.38,939.31M,4.06%
07/26/2022,11562.58,11701.53,11711.31,11533.37,834.49M,-1.87%
07/25/2022,11782.67,11837.96,11855.11,11707.53,783.12M,-0.43%
07/22/2022,11834.11,12025.37,12093.02,11767.19,884.72M,-1.87%
07/21/2022,12059.61,11914.15,12060.59,11812.72,840.81M,1.36%
07/20/2022,11897.65,11726.09,11939.96,11703.36,1.01B,1.58%
07/19/2022,11713.15,11515,11721.22,11448.97,974.15M,3.11%
07/18/2022,11360.05,11561.64,11629.03,11322.84,922.80M,-0.81%
07/15/2022,11452.42,11379.36,11454.69,11295.33,947.43M,1.79%
07/14/2022,11251.18,11151.21,11279.97,11005.93,817.49M,0.03%
07/13/2022,11247.58,11056.55,11325.67,11031.27,812.60M,-0.15%
07/12/2022,11264.73,11420.89,11483.17,11207.08,836.73M,-0.95%
07/11/2022,11372.6,11524.49,11541.1,11348.06,844.13M,-2.26%
07/08/2022,11635.31,11503.61,11689.7,11479.77,820.69M,0.12%
07/07/2022,11621.35,11422.6,11644.47,11412.88,916.26M,2.28%
07/06/2022,11361.85,11337.9,11443.15,11250.32,933.39M,0.35%
07/05/2022,11322.24,10964.18,11323.9,10911.45,1.07B,1.75%
07/01/2022,11127.84,11006.83,11132.55,10922.71,930.71M,0.90%
06/30/2022,11028.74,11048.25,11160.92,10850.01,1.16B,-1.33%
06/29/2022,11177.89,11160.22,11226.33,11072.19,1.02B,-0.03%
06/28/2022,11181.54,11542.24,11635.85,11177.68,1.02B,-2.98%
06/27/2022,11524.55,11661.02,11677.49,11487.07,991.61M,-0.72%
06/24/2022,11607.62,11351.31,11613.23,11337.78,4.31B,3.34%
06/23/2022,11232.19,11137.68,11260.27,11046.28,1.03B,1.62%
06/22/2022,11053.08,10941.95,11216.77,10938.06,1.11B,-0.15%
06/21/2022,11069.3,10974.05,11164.99,10974.05,1.19B,2.51%
06/17/2022,10798.35,10697.55,10884.71,10638.72,2.80B,1.43%
06/16/2022,10646.1,10806.02,10831.07,10565.14,1.25B,-4.08%
06/15/2022,11099.16,10968.4,11244.26,10866.39,1.22B,2.50%
06/14/2022,10828.34,10897.43,10926.81,10733.04,953.68M,0.18%
06/13/2022,10809.23,10986.84,11071.48,10775.14,1.21B,-4.68%
06/10/2022,11340.02,11543.88,11569.15,11328.27,1.06B,-3.52%
06/09/2022,11754.23,12016.47,12115.07,11751.98,998.87M,-2.75%
06/08/2022,12086.27,12147.28,12235.78,12052.7,911.77M,-0.73%
06/07/2022,12175.23,11925.81,12194.86,11888.61,900.55M,0.94%
06/06/2022,12061.37,12200.33,12245.4,12004.2,911.01M,0.40%
06/03/2022,12012.73,12097.12,12167.44,11966.62,837.59M,-2.47%
06/02/2022,12316.9,11945.57,12320.12,11901.45,916.66M,2.69%
06/01/2022,11994.46,12176.89,12237.93,11901.43,940.60M,-0.72%
05/31/2022,12081.39,12137.54,12190.08,11942.5,1.77B,-0.41%
05/27/2022,12131.13,11869.69,12131.66,11856.82,942.22M,3.33%
05/26/2022,11740.65,11409.84,11796.97,11406.16,930.42M,2.68%
05/25/2022,11434.74,11225.03,11511.9,11211.85,907.18M,1.51%
05/24/2022,11264.45,11326.44,11351.61,11092.48,924.23M,-2.35%
05/23/2022,11535.27,11396.28,11552.07,11304.56,889.21M,1.59%
05/20/2022,11354.62,11542.67,11552.21,11035.69,1.20B,-0.30%
05/19/2022,11388.5,11364.4,11562.82,11313.31,1.05B,-0.26%
05/18/2022,11418.15,11790.68,11826.22,11381.69,1.03B,-4.73%
05/17/2022,11984.52,11905.57,11988.43,11754.28,1.02B,2.76%
05/16/2022,11662.79,11727.14,11804.59,11627.53,978.06M,-1.20%
05/13/2022,11805,11555.98,11856.71,11510.25,1.23B,3.82%
05/12/2022,11370.96,11199.25,11547.33,11108.76,1.40B,0.06%
05/11/2022,11364.24,11645.57,11844.5,11339.18,1.27B,-3.18%
05/10/2022,11737.67,11900.34,11944.94,11566.28,1.28B,0.98%
05/09/2022,11623.25,11923.03,11990.61,11574.94,1.24B,-4.29%
05/06/2022,12144.66,12246.83,12358.42,11990.15,1.09B,-1.40%
05/05/2022,12317.69,12787.52,12787.52,12183.56,1.10B,-4.99%
05/04/2022,12964.86,12574.73,12985.01,12367.02,1.11B,3.19%
05/03/2022,12563.76,12511.46,12645.83,12460.99,897.83M,0.22%
05/02/2022,12536.02,12331.69,12542.54,12202.41,1.04B,1.63%
04/29/2022,12334.64,12710.42,12861.83,12315.74,1.09B,-4.17%
04/28/2022,12871.53,12712.86,12948.52,12487.86,1.01B,3.06%
04/27/2022,12488.93,12500.88,12703.79,12430.9,942.84M,-0.01%
04/26/2022,12490.74,12918.04,12918.04,12490.74,1.02B,-3.95%
04/25/2022,13004.85,12749.17,13011.45,12722.59,988.04M,1.29%
04/22/2022,12839.29,13168.8,13212.6,12828.02,950.70M,-2.55%
04/21/2022,13174.65,13623.7,13710.69,13140.83,993.83M,-2.07%
